EREIGNISJAHR_N;Bezirk;1_F;1_M;2_F;2_M;3_F;3_M;4_F;4_M;5_F;5_M;6_F;6_M;7_F;7_M;8_F;8_M;9_F;9_M;10_F;10_M;11_F;11_M;12_F;12_M;13_F;13_M;14_F;14_M;15_F;15_M;16_F;16_M;17_F;17_M;18_F;18_M;19_F;19_M;20_F;20_M
2010;1101;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;2;3;1;8;2;6;2;8;4;6;6;12;20;6;11;4;9;2
2010;1102;1;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;1;1;1;2;NA;2;NA;2;2;3;3;5;2;3;4;7;6;12;16;7;17;6;6;3
2010;1103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;1;NA;1;4;1;2;2;3;1;NA;1;5;3;8;5;5;6;4;4;2
2010;1104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;3;2;3;4;3;2;2;3;1;6;5;10;7;6;7;15;13;10;13;5;1;2
2010;1105;1;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;4;4;5;4;3;9;3;11;5;5;3;11;12;11;26;11;22;17;18;7;3;2
2010;1106;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;3;3;3;3;5;5;3;10;20;12;22;14;32;17;30;47;26;56;37;33;19;21;7
2010;1107;NA;1;NA;NA;NA;NA;NA;1;2;NA;NA;NA;1;1;NA;4;1;NA;1;4;4;4;6;6;5;8;13;19;21;23;31;27;40;31;51;45;25;20;13;11
2010;1108;NA;1;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;2;4;NA;4;1;4;9;4;13;5;16;12;20;17;25;28;32;49;20;51;28;42;12;19;6
2010;1109;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;1;NA;1;2;4;2;1;NA;3;5;1;4;7;5;8;13;10;26;13;20;7;14;5
2010;1110;1;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;2;1;1;NA;2;3;4;4;7;7;13;11;9;8;12;6;3;6;1
2010;1200;3;7;NA;NA;1;NA;1;NA;1;2;NA;2;1;5;4;4;5;15;12;15;20;21;19;49;33;52;39;68;57;85;112;130;209;180;284;174;224;90;163;41
2010;1301;8;2;NA;1;NA;1;2;1;NA;NA;2;NA;1;6;1;2;3;9;7;8;6;12;20;26;27;25;35;51;49;69;69;87;107;129;137;128;101;68;60;15
2010;1302;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;1;5;1;NA;1;NA;3;7;2;5;3;10;4;9;12;12;13;11;8;4;6;NA
2010;1303;2;NA;NA;NA;1;NA;NA;NA;NA;NA;1;1;NA;1;2;NA;NA;1;3;3;1;4;2;10;10;7;8;16;12;24;29;39;32;38;46;45;44;16;14;8
2010;1304;NA;1;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;2;1;4;4;2;1;1;3;6;10;6;12;11;17;9;23;33;24;29;19;24;13;8;3
2010;1305;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1;3;2;1;NA;2;3;2;3;2;4;4;4;3;9;12;9;12;18;10;9;7;4;4
2010;1400;2;1;2;NA;NA;NA;NA;1;NA;NA;3;NA;1;2;3;3;4;2;4;7;6;7;9;23;9;18;16;27;22;33;39;45;61;57;99;49;53;40;39;13
2010;1501;1;1;NA;1;NA;NA;1;1;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;3;2;3;NA;6;2;5;4;5;8;10;12;12;12;21;26;15;29;11;13;7
2010;1502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;3;NA;1;2;2;5;4;2;4;5;5;7;6;13;17;9;22;13;12;5;14;3
2010;1503;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;2;NA;1;1;2;3;1;NA;2;1;4;3;3;11;11;8;9;4;13;10;5;9;8;4
2010;1600;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;1;1;1;NA;4;NA;2;NA;3;1;5;1;4;3;7;7;4;14;6;14;12;12;5;4;2
2010;1721;2;3;NA;NA;NA;NA;NA;1;NA;1;2;1;2;NA;1;1;7;5;7;15;12;13;11;14;24;30;22;44;28;45;54;72;81;77;133;75;118;51;63;19
2010;1722;NA;NA;NA;NA;NA;NA;NA;1;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;1;5;4;4;4;3;5;15;7;12;16;19;17;19;28;33;51;20;34;16;17;6
2010;1723;NA;NA;NA;NA;NA;1;NA;1;1;2;1;1;NA;3;1;4;1;NA;3;5;3;15;7;12;13;18;15;18;15;28;25;28;47;39;41;37;39;20;17;3
2010;1724;NA;1;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;1;2;3;NA;3;4;4;7;3;2;11;6;10;10;13;13;17;20;22;30;25;25;8;13;NA
2010;1725;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;3;3;4;1;3;6;7;5;6;4;18;10;19;12;25;29;27;32;31;24;8;13;3
2010;1726;1;1;NA;NA;NA;NA;NA;1;1;NA;1;2;NA;1;1;2;1;3;3;3;5;6;4;9;3;12;13;18;10;28;20;35;48;38;50;35;32;19;13;10
2010;1727;2;2;NA;NA;NA;NA;NA;NA;1;1;NA;1;NA;2;1;2;NA;4;1;3;2;4;4;14;4;11;6;18;10;15;20;30;34;40;46;38;32;16;20;10
2010;1728;NA;NA;NA;1;NA;NA;NA;3;NA;3;NA;1;2;4;NA;1;NA;3;1;4;4;6;7;13;7;21;14;27;15;29;25;39;46;43;65;42;48;24;23;9
2010;1841;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;3;NA;3;1;9;6;7;13;9;4;3;4;NA
2010;1842;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;2;1;NA;4;1;1;3;3;3;3;9;5;8;7;6;NA;NA;NA
2010;1843;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;3;1;1;1;2;1;3;1;8;4;5;8;12;11;6;3;2
2010;1844;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;2;NA;NA;1;1;3;1;5;2;2;5;4;6;8;5;2;5;16;1;17;14;11;3;5;2
2010;1845;2;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;1;NA;1;2;1;1;4;1;2;1;1;4;5;7;7;8;3;7;12;15;11;17;12;20;12;5;1
2010;1846;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;1;2;1;3;3;5;NA;8;7;8;8;18;8;8;8;6;4;2
2010;1847;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;2;4;NA;2;NA;5;1;5;3;9;5;9;7;7;6;1;4;2
2010;1848;1;NA;NA;NA;NA;1;NA;1;NA;1;NA;1;NA;1;1;1;NA;3;1;2;4;2;4;7;3;7;10;15;16;16;15;25;41;26;43;28;30;23;25;6
2010;1849;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;3;NA;2;5;1;6;6;7;6;14;5;10;12;14;11;14;23;22;21;10;10;2
2010;1850;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;4;1;4;2;3;6;3;1;6;7;10;6;8;16;20;16;18;31;24;25;9;12;3
2010;1851;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;1;1;4;1;3;NA;4;4;3;3;5;4;10;4;6;10;9;12;8;13;6;11;2
2010;1901;2;2;NA;NA;2;NA;NA;1;1;1;NA;NA;1;1;NA;1;NA;2;4;9;5;6;10;17;13;13;10;27;16;23;33;41;44;49;72;65;50;33;31;8
2010;1902;3;5;1;NA;NA;NA;1;2;NA;3;3;NA;1;1;1;5;4;5;5;9;9;22;15;12;12;28;31;37;30;48;51;54;76;64;99;51;60;28;42;19
2010;1903;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;3;NA;NA;NA;NA;3;NA;3;5;3;2;6;7;11;21;8;21;11;24;25;28;26;48;38;28;34;18;13;4
2010;1904;1;NA;NA;NA;NA;NA;NA;1;NA;1;2;NA;NA;NA;1;NA;2;1;5;6;2;3;2;6;10;7;9;11;8;14;18;26;28;37;39;32;38;22;22;6
2010;1905;NA;1;NA;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;1;NA;4;NA;3;2;6;7;10;5;10;10;16;11;16;20;21;25;23;31;25;25;18;10;4
2010;1906;3;NA;NA;NA;NA;2;1;NA;NA;1;1;1;NA;NA;NA;3;1;3;1;1;3;4;1;4;6;5;5;6;9;6;5;13;8;16;25;13;24;9;12;2
2010;1907;3;NA;NA;NA;NA;NA;NA;1;1;NA;NA;2;NA;2;NA;2;1;3;NA;4;3;5;7;7;9;10;8;20;21;11;13;22;42;38;48;23;25;20;19;3
2010;1908;2;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;1;2;1;2;4;4;1;7;5;3;4;12;5;4;4;16;19;18;18;13;23;5;5;3
2010;1909;NA;3;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;2;1;NA;2;NA;3;4;1;3;4;10;8;9;6;17;11;16;14;16;31;13;42;22;22;10;11;3
2010;1910;3;NA;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;1;NA;2;3;4;10;7;8;7;15;9;23;8;25;15;30;26;34;44;38;65;49;40;19;26;4
2010;1911;2;NA;NA;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2;1;2;5;5;4;4;6;5;4;6;11;6;10;13;20;19;19;25;28;21;15;10;1
