EREIGNISJAHR_N;Bezirk;1_F;1_M;2_F;2_M;3_F;3_M;4_F;4_M;5_F;5_M;6_F;6_M;7_F;7_M;8_F;8_M;9_F;9_M;10_F;10_M;11_F;11_M;12_F;12_M;13_F;13_M;14_F;14_M;15_F;15_M;16_F;16_M;17_F;17_M;18_F;18_M;19_F;19_M;20_F;20_M
2015;1727;1;NA;1;NA;NA;NA;1;NA;NA;NA;NA;2;NA;2;NA;3;NA;NA;2;1;9;3;1;6;8;12;10;18;9;12;26;37;35;42;41;35;46;30;19;1
2015;1728;1;3;NA;NA;1;1;NA;NA;NA;3;NA;2;NA;NA;1;1;1;4;1;4;10;6;4;8;12;12;19;22;18;26;20;33;43;47;59;38;57;25;23;8
2015;1841;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;1;3;NA;NA;1;7;5;3;3;5;6;3;6;9;8;10;5;2;3;NA
2015;1842;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;2;2;2;1;1;3;3;4;8;5;9;4;10;2;4;NA
2015;1843;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;2;1;3;2;4;6;3;3;7;7;9;13;11;8;7;4;2
2015;1844;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;3;2;2;3;2;2;1;6;4;4;6;10;11;9;8;12;17;16;16;9;11;2
2015;1845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;3;2;NA;3;4;6;3;8;5;12;11;5;20;13;18;14;13;15;11;2
2015;1846;NA;1;NA;NA;1;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;4;1;4;8;6;2;6;5;5;8;12;16;8;9;7;8;3
2015;1847;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;3;3;1;1;NA;3;1;3;4;9;6;8;12;4;6;5;3;2
2015;1848;2;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;1;1;NA;NA;4;NA;NA;1;1;1;6;5;9;5;11;5;15;15;20;24;18;34;31;60;30;41;26;18;9
2015;1849;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1;NA;1;3;3;3;NA;3;2;7;13;11;11;13;21;18;30;14;19;20;14;4
2015;1850;NA;1;NA;NA;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;2;NA;NA;1;4;7;6;4;9;5;16;3;11;9;12;22;20;20;14;25;13;11;3
2015;1851;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;1;1;1;1;2;3;2;4;1;5;5;5;2;6;8;9;17;13;20;6;11;1
2015;1901;3;NA;NA;NA;1;1;1;1;1;2;NA;1;NA;1;1;1;1;1;2;7;4;6;4;13;8;14;20;20;16;29;30;38;60;62;69;49;67;35;40;13
2015;1902;1;9;NA;NA;NA;1;NA;1;NA;1;1;3;1;2;2;1;2;4;8;12;11;12;10;17;12;34;27;41;28;55;57;68;74;81;83;93;102;45;35;16
2015;1903;1;1;NA;NA;NA;1;NA;NA;NA;2;NA;NA;NA;2;3;1;NA;4;4;9;8;8;5;9;10;17;17;24;25;33;23;33;36;46;63;34;49;33;17;4
2015;1904;1;1;NA;NA;1;NA;NA;NA;1;2;NA;3;1;2;NA;NA;NA;NA;2;1;2;5;3;6;4;14;13;17;11;24;9;27;34;31;39;25;43;23;16;10
2015;1905;NA;1;NA;NA;NA;NA;NA;3;NA;2;NA;NA;NA;NA;1;NA;NA;2;NA;5;3;6;7;9;8;4;16;10;13;18;12;24;24;42;36;29;39;23;13;7
2015;1906;2;NA;NA;NA;1;NA;NA;1;1;NA;NA;NA;2;NA;NA;NA;1;1;NA;3;7;3;2;6;12;5;4;8;1;14;7;13;11;14;16;10;30;13;11;4
2015;1907;3;3;NA;NA;NA;1;NA;3;1;1;NA;NA;1;NA;2;2;2;4;2;6;5;3;6;5;5;14;15;23;10;26;23;26;40;42;45;29;51;14;19;10
2015;1908;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;1;2;1;5;1;4;2;11;7;14;4;14;6;9;9;19;26;12;18;7;4;3
2015;1909;NA;1;NA;NA;NA;NA;1;NA;NA;2;1;1;NA;3;NA;1;1;2;2;5;3;1;2;8;2;16;6;10;20;19;16;19;27;28;41;34;28;20;14;4
2015;1910;3;1;NA;NA;NA;NA;NA;1;NA;3;NA;1;NA;1;2;NA;1;2;1;7;9;7;6;12;5;18;11;16;11;33;32;38;39;47;72;55;58;26;32;4
2015;1911;2;1;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;1;NA;2;3;3;3;5;2;5;3;6;10;12;5;16;22;14;24;23;21;32;38;13;14;2
2015;2011;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;4;NA;2;3;2;7;3;12;6;14;6;8;10;17;17;17;15;29;33;34;45;33;57;20;26;14
2015;2012;1;1;NA;NA;NA;2;NA;NA;NA;1;NA;2;NA;NA;NA;1;2;1;4;1;2;10;9;7;7;12;15;21;15;29;17;32;30;35;66;34;45;19;23;10
2015;2013;1;4;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;1;1;3;3;3;2;10;4;9;4;7;11;23;14;19;16;25;26;23;47;18;33;18;5;3
2015;2014;1;2;1;NA;NA;NA;NA;2;NA;1;NA;1;1;NA;NA;NA;3;3;NA;4;4;3;8;3;7;17;7;17;5;17;8;14;15;27;35;29;24;19;16;3
2015;2015;2;1;NA;NA;NA;NA;1;2;1;NA;1;1;2;1;NA;NA;1;1;NA;3;6;6;3;4;6;16;7;20;12;14;18;23;31;30;55;35;48;33;14;3
2015;2101;2;1;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;2;1;1;1;NA;3;3;3;3;2;5;3;12;13;17;16;21;28;35;32;47;50;37;46;21;29;8
2015;2102;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;1;3;2;NA;1;3;2;1;3;3;5;5;6;3;7;3
2015;2103;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;NA;NA;1;1;NA;1;1;1;2;1;7;2;5;5;10;8;15;16;13;13;5;10;5
2015;2104;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;2;1;4;6;5;3;8;2;6;7;16;16;20;27;39;34;53;59;62;77;58;101;42;48;9
2015;2105;5;1;NA;NA;NA;1;1;NA;NA;1;NA;1;NA;1;4;NA;1;6;2;5;12;11;15;27;23;42;27;58;46;60;58;74;89;111;145;109;141;73;85;28
2015;2106;2;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;1;1;1;2;1;3;2;6;5;7;4;4;8;14;12;16;21;20;33;44;55;64;33;60;27;46;9
2015;2107;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;1;1;NA;3;2;NA;NA;4;3;2;2;3;5;7;6;4;10;8;10;6;5;7;1
2015;2108;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;1;1;NA;2;NA;1;3;1;NA;NA;3;2;2;3;2;4;6;2;5;5;8;10;5;5;3
2015;2221;NA;1;NA;NA;1;NA;NA;2;1;NA;NA;3;NA;1;NA;1;NA;4;1;3;5;5;2;6;5;12;10;8;14;19;17;21;23;29;33;22;36;16;22;3
2015;2222;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;1;NA;NA;3;1;5;4;3;4;3;15;8;22;9;12;8;21;15;25;30;31;27;22;30;7
2015;2223;2;3;NA;NA;NA;NA;1;NA;1;2;NA;1;NA;NA;NA;4;1;NA;NA;3;2;NA;3;4;3;7;4;8;4;11;16;15;29;25;34;17;20;16;7;5
2015;2224;5;2;NA;NA;NA;NA;NA;3;NA;2;2;3;2;2;4;3;5;4;4;5;7;10;6;14;16;18;19;25;25;37;28;30;60;60;85;62;94;50;47;16
2015;2225;3;4;1;NA;NA;1;NA;NA;2;3;NA;5;2;3;3;8;5;8;9;16;11;21;10;24;10;26;27;37;27;56;63;67;103;95;138;92;165;59;79;18
2015;2226;NA;1;NA;NA;NA;NA;NA;1;NA;NA;2;NA;1;NA;NA;1;1;3;2;6;6;3;4;4;4;10;10;15;16;21;15;29;30;37;73;44;74;35;46;10
2015;2227;1;2;NA;NA;NA;NA;3;NA;NA;1;NA;3;NA;2;1;4;2;3;6;1;5;3;9;14;9;18;11;16;20;30;25;37;39;33;77;57;74;36;26;9
2015;2228;1;NA;NA;NA;NA;NA;NA;2;NA;NA;1;1;1;4;NA;3;NA;4;5;5;3;8;9;13;7;17;10;26;15;40;26;30;24;25;36;43;37;25;33;7
2015;2229;6;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;1;3;1;1;NA;1;3;NA;2;5;7;3;6;7;8;10;23;11;26;27;25;29;42;59;34;39;13;26;9
2015;2230;2;1;1;NA;NA;NA;1;2;NA;1;NA;1;NA;NA;4;2;3;3;1;5;6;17;7;10;9;18;17;32;23;45;30;45;51;57;80;57;93;43;54;9
2015;2301;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;3;2;1;2;2;1;1;3;5;1;6;9;9;2;15;16;17;20;17;21;21;21;14;10;2
2015;2302;4;NA;NA;NA;NA;NA;1;NA;2;3;NA;1;NA;NA;NA;1;NA;4;2;1;3;3;3;3;4;9;10;13;5;8;11;17;15;20;19;21;10;5;11;1
2015;2303;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;1;1;NA;1;NA;NA;3;2;3;1;3;2;6;3;6;6;9;11;7;13;8;11;9;3;1
2015;2304;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;2;1;1;NA;2;NA;4;1;3;NA;5;3;5;4;6;4;3;2;NA
2015;2305;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;1;1;2;1;4;1;2;NA;6;7;7;4;6;4;9;5;5;15;11;7;5;4;1
2015;2306;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;7;2;3;2;6;4;9;6;9;12;5;7;7;11;2;4;NA
2015;2307;1;1;NA;NA;NA;NA;NA;NA;NA;3;1;NA;1;NA;1;1;NA;1;2;2;3;7;4;7;5;13;10;21;11;26;14;21;31;31;37;26;26;18;16;4
2015;2308;NA;2;1;NA;NA;NA;NA;NA;NA;1;2;1;NA;NA;NA;1;2;NA;3;2;3;7;6;11;6;7;7;19;10;23;14;22;22;33;41;24;41;13;17;6
2015;2309;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;1;NA;3;4;6;3;1;2;10;2;8;10;9;11;4;14;5;3;NA
2015;2310;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;2;1;1;NA;3;1;4;4;9;5;6;6;6;8;9;11;6;10;7;10;2
2015;2311;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;2;1;4;1;3;6;2;1;11;10;10;7;31;16;22;16;30;36;34;42;31;40;17;16;7
2015;2312;NA;3;NA;NA;NA;NA;NA;1;NA;1;NA;1;NA;1;1;NA;1;2;3;1;2;5;4;11;3;10;8;12;9;25;10;21;35;33;52;32;32;28;16;8
2015;2313;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;1;3;1;6;8;5;9;10;3;6;14;18;12;26;29;18;30;12;4;7
2015;2407;NA;3;NA;1;NA;1;NA;1;NA;1;NA;1;NA;2;NA;5;5;2;2;2;9;17;10;16;13;18;19;31;34;33;44;53;67;68;108;74;92;44;48;11
2015;2408;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;2;NA;2;1;2;1;2;2;3;2;2;6;5;9;8;4;7;5;20;6;13;10;7;1
2015;2409;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;2;NA;NA;1;3;5;3;8;6;10;8;9;6;16;16;7;21;5;7;2
2015;2410;NA;4;NA;NA;NA;NA;1;NA;NA;1;NA;2;NA;NA;NA;3;2;3;3;3;7;2;6;17;8;17;11;16;12;25;23;38;49;42;66;41;64;32;34;6
2015;2501;3;4;NA;NA;1;NA;NA;1;1;3;3;NA;3;2;2;4;3;9;8;12;10;20;13;30;21;37;37;50;50;55;69;68;101;91;164;113;195;78;98;36
2015;2502;NA;NA;NA;NA;NA;NA;2;NA;NA;1;NA;1;NA;1;1;1;1;3;2;2;3;5;3;4;6;10;8;15;22;20;25;37;40;31;68;34;54;32;34;8
2015;2503;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;2;1;1;1;2;4;3;1;7;6;6;10;7;8;21;23;20;28;35;42;39;51;46;53;42;70;35;35;10
2015;2504;5;5;NA;1;NA;NA;NA;2;NA;1;2;NA;NA;NA;1;3;NA;1;3;9;6;15;4;23;18;23;21;27;33;43;38;66;65;75;100;57;87;53;47;11
2015;2601;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;NA;1;1;NA;2;NA;4;2;10;6;5;4;9;13;18;16;11;15;25;19;29;33;39;41;14;21;7
2015;2602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;2;NA;2;3;3;2;3;3;6;2;3;8;9;12;9;11;6;3;2
2015;2603;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;2;2;6;3;1;12;2;10;10;18;13;15;15;19;34;23;26;10;26;3
2016;101;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;2;2;1;NA;NA;2;1;4;3;1;3;6;5;9;5;10;16;22;9;34;23;37;35;32;29;16;7;5
2016;102;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;2;1;NA;3;1;5;2;6;6;6;6;13;10;9;16;18;24;21;20;13;9;2
2016;103;3;4;NA;NA;1;1;NA;NA;1;1;1;4;NA;3;1;2;2;5;4;4;3;13;11;17;19;25;21;33;25;44;49;72;66;87;94;69;66;49;37;11
2016;104;2;1;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;2;2;2;2;3;4;5;3;8;9;12;14;15;17;23;21;29;28;36;30;43;47;39;35;17;17;6
2016;105;4;NA;NA;1;NA;NA;1;NA;NA;2;2;3;NA;NA;NA;3;2;NA;6;6;1;17;10;8;12;21;17;34;31;43;31;40;55;63;68;60;74;38;27;11
2016;106;1;4;NA;NA;NA;1;NA;NA;NA;1;1;4;NA;1;2;2;3;5;4;1;3;8;16;15;12;20;19;35;26;40;50;55;72;84;114;87;98;61;55;19
2016;107;2;2;1;NA;1;NA;NA;NA;NA;NA;2;NA;1;1;NA;NA;2;5;6;3;5;5;7;13;8;16;17;20;36;40;41;42;72;79;103;97;110;72;57;17
2016;108;1;4;NA;NA;NA;1;NA;NA;1;NA;1;NA;1;NA;NA;1;1;2;3;2;4;12;2;15;5;18;16;23;14;24;23;24;27;27;45;24;42;19;21;6
2016;109;3;1;NA;NA;NA;NA;NA;NA;NA;3;1;3;NA;4;2;1;2;5;1;7;6;14;10;13;14;23;21;29;36;37;61;52;69;82;78;73;66;45;31;10
2016;110;4;5;1;NA;1;NA;NA;NA;NA;4;4;3;2;4;1;3;3;3;7;12;12;19;15;25;24;19;20;36;39;64;52;65;86;104;152;97;143;65;51;24
2016;111;1;1;NA;NA;NA;NA;NA;2;NA;NA;NA;2;2;2;NA;3;1;4;1;7;2;10;4;13;7;10;18;14;22;34;29;40;47;59;67;64;48;37;20;10
2016;112;6;8;NA;NA;NA;NA;1;1;2;6;2;5;6;11;7;18;7;19;17;25;32;44;27;58;42;75;88;92;100;144;148;166;261;217;441;295;409;200;219;84
2016;241;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;1;NA;1;2;2;6;5;NA;7;4;9;9;22;12;14;26;23;26;27;53;42;74;36;66;22;25;20
2016;242;4;2;1;NA;NA;NA;1;NA;2;1;NA;3;1;1;1;2;3;3;3;8;5;14;14;23;11;36;26;22;30;38;49;63;85;85;114;91;108;50;67;24
2016;243;1;NA;NA;NA;NA;NA;NA;NA;1;1;2;1;NA;NA;3;2;NA;4;4;6;6;10;7;11;10;13;16;26;12;30;29;30;46;50;69;70;61;26;24;7
2016;244;2;NA;NA;NA;NA;NA;1;NA;1;NA;NA;1;2;NA;NA;NA;2;4;4;7;4;8;6;11;15;28;18;25;17;36;33;38;80;66;99;78;79;39;37;11
2016;245;4;NA;NA;1;NA;1;NA;1;1;1;NA;NA;NA;2;6;3;2;1;9;6;7;12;14;14;10;20;14;33;29;35;39;50;60;73;112;79;109;57;37;13
2016;246;5;16;NA;NA;1;2;1;1;1;3;5;7;4;5;4;14;8;9;16;21;36;43;37;67;55;81;73;123;130;174;131;185;312;281;423;307;456;228;226;83
2016;247;2;1;NA;NA;NA;NA;NA;1;NA;3;NA;5;1;NA;1;4;3;5;4;7;10;10;11;24;16;37;25;41;40;62;52;55;86;77;117;93;126;51;64;18
2016;248;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;2;1;NA;1;NA;2;NA;2;3;4;7;2;4;5;6;11;13;16;18;15;16;7;3
2016;249;1;2;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;1;NA;2;2;5;2;2;2;8;6;11;12;12;9;17;18;33;41;41;46;39;30;21;18;10
2016;250;NA;1;NA;NA;NA;NA;NA;2;NA;NA;1;NA;NA;2;2;1;NA;6;4;1;2;8;7;12;6;17;14;23;9;25;21;25;37;45;65;52;48;29;27;9
2016;311;NA;2;NA;NA;NA;NA;NA;1;2;NA;1;3;1;1;3;2;NA;7;2;3;4;14;4;13;7;18;18;18;24;30;38;39;53;47;113;62;111;48;42;21
2016;312;1;3;NA;NA;1;NA;NA;NA;NA;1;1;4;1;NA;3;1;2;2;3;5;4;12;6;11;6;13;16;22;18;27;50;45;57;57;73;53;63;33;37;16
2016;313;2;5;NA;NA;NA;NA;NA;1;1;1;NA;NA;NA;NA;1;1;3;3;8;2;5;6;5;10;6;7;7;18;13;23;16;32;44;40;59;37;42;21;19;9
2016;314;NA;1;NA;NA;1;1;NA;1;NA;1;NA;2;NA;NA;1;NA;2;1;NA;1;3;4;5;10;9;14;8;13;11;25;21;25;27;45;40;45;38;21;22;4
2016;315;2;NA;NA;NA;NA;NA;1;NA;NA;3;NA;1;NA;NA;1;2;1;1;3;1;4;6;3;7;2;11;8;17;11;23;17;23;37;39;41;28;43;20;12;6
2016;316;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;1;1;NA;3;NA;1;2;3;4;4;6;11;3;7;10;11;19;21;32;26;13;12;9;NA
2016;400;1;NA;NA;1;NA;NA;NA;NA;1;NA;NA;1;NA;NA;1;NA;1;NA;3;7;1;3;3;7;4;8;11;11;9;11;16;25;25;29;49;33;38;23;19;6
2016;501;NA;1;NA;NA;NA;1;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;1;2;1;1;1;7;2;3;5;4;6;10;10;12;12;6;12;8;8;1
2016;502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;2;3;NA;1;5;1;NA;3;7;NA;3;NA
2016;503;1;1;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;1;1;2;NA;1;1;2;3;1;7;4;4;6;12;7;7;5;15;12;21;23;12;23;8;3;4
2016;504;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;2;NA;3;1;2;4;3;4;6;3;7;1;5;7;5;9;16;9;5;4;4
2016;505;2;NA;NA;1;NA;NA;NA;NA;NA;1;NA;2;NA;2;NA;NA;2;NA;2;1;2;2;4;9;5;10;3;12;14;19;14;14;15;23;29;16;29;15;5;3
2016;506;2;3;NA;NA;NA;NA;NA;1;1;1;NA;1;1;1;NA;NA;NA;2;4;4;4;6;6;6;7;11;12;17;16;34;26;19;36;37;50;37;46;23;13;9
2016;600;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;1;NA;1;NA;NA;2;3;8;7;2;6;5;5;3;13;7;14;9;11;21;21;24;18;26;16;15;3
2016;700;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;2;NA;1;1;NA;1;2;NA;1;NA;5;7;3;9;13;13;5;25;18;19;22;31;32;26;23;12;11;5
2016;800;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;2;NA;1;NA;NA;NA;1;3;4;4;4;6;1;11;13;18;11;23;18;21;25;35;52;32;40;18;16;7
2016;900;4;2;1;NA;1;NA;NA;2;1;1;NA;1;1;3;1;2;2;4;1;4;9;6;9;10;10;15;11;30;27;41;40;51;65;56;93;61;82;41;33;14
2016;1001;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;2;2;2;1;3;7;4;5;2;17;4;17;6;11;12;11;18;15;17;7;12;2
2016;1002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;2;1;1;NA;1;1;4;NA;3;9;3;5;2;13;5;10;9;13;15;21;17;8;1;2
2016;1003;1;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;1;1;1;2;2;3;5;7;2;9;8;17;12;17;14;19;21;19;34;30;32;36;44;19;18;3
2016;1004;1;6;NA;NA;NA;NA;NA;NA;1;NA;NA;2;1;2;1;3;3;1;2;8;5;10;10;20;14;20;23;34;27;45;43;34;53;47;63;41;71;35;29;11
2016;1005;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;2;NA;NA;2;4;7;2;3;2;9;7;7;7;17;11;13;21;21;26;26;27;9;11;NA
2016;1006;NA;1;NA;NA;NA;NA;NA;NA;1;1;NA;1;NA;1;1;2;NA;NA;2;2;5;7;4;4;7;12;8;19;10;23;23;25;10;30;22;28;32;10;10;1
2016;1007;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;4;NA;NA;4;2;3;7;2;5;2;3;4;5;7;4;19;13;5;9;2;1
2016;1101;3;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;1;NA;1;3;NA;1;1;2;1;NA;3;1;3;1;4;4;5;2;11;12;9;15;4;17;14;17;12;5;4
2016;1102;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;NA;3;4;1;2;5;2;9;1;9;5;4;6;17;14;12;19;7;8;2
2016;1103;1;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;2;2;1;1;3;3;2;4;1;8;2;6;4;2;1
2016;1104;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;2;NA;4;2;4;3;4;4;1;6;8;8;5;15;14;16;16;20;10;8;12;NA
2016;1105;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;2;NA;2;2;2;1;NA;3;4;5;14;6;11;8;8;18;17;16;13;25;13;8;3
2016;1106;NA;2;NA;NA;NA;NA;NA;1;NA;1;NA;NA;2;NA;1;NA;1;1;2;6;2;9;3;8;5;13;16;14;24;17;16;25;35;33;37;36;39;23;20;3
2016;1107;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;2;1;2;1;NA;5;1;4;3;10;11;9;5;8;20;9;14;18;14;33;33;50;39;44;23;24;8
2016;1108;1;1;NA;NA;NA;NA;NA;NA;1;NA;1;NA;2;NA;NA;2;2;NA;2;1;4;5;9;13;1;7;14;13;14;26;17;23;48;29;59;45;58;39;27;6
2016;1109;NA;NA;NA;NA;1;NA;NA;2;NA;NA;NA;NA;1;NA;NA;1;NA;1;1;NA;1;3;3;2;3;10;4;5;3;8;14;7;10;12;22;10;18;11;15;3
2016;1110;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;1;NA;NA;NA;1;2;1;2;2;2;2;3;5;3;4;7;6;2;3;12;8;16;10;18;10;8;1
2016;1200;4;2;NA;NA;NA;NA;2;1;NA;1;2;NA;NA;3;NA;11;5;8;10;11;14;31;12;28;31;32;44;75;66;82;81;113;169;138;261;154;259;112;158;41
2016;1301;2;5;NA;NA;NA;NA;NA;1;NA;1;NA;1;2;1;NA;2;1;3;6;4;8;17;12;25;19;26;37;43;61;82;70;92;105;121;174;121;128;89;72;25
2016;1302;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;1;NA;1;NA;1;2;5;1;6;6;8;3;8;7;6;11;13;11;16;17;13;17;4;5;2
2016;1303;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;1;7;NA;2;3;3;5;5;3;4;5;10;9;16;17;22;12;15;21;28;44;40;68;41;56;26;21;6
2016;1304;1;NA;NA;NA;NA;1;NA;NA;NA;1;NA;1;NA;NA;NA;1;1;1;1;1;4;6;1;3;3;8;5;14;7;14;13;13;15;26;21;27;35;19;13;6
2016;1305;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;3;NA;2;1;4;2;4;1;2;9;3;2;2;3;6;11;3;11;10;12;13;7;8;4
2016;1400;1;1;NA;NA;NA;NA;NA;NA;NA;1;NA;2;1;1;NA;1;1;1;4;2;8;4;7;19;13;18;17;20;26;43;33;41;72;63;98;62;71;47;44;15
2016;1501;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;1;1;3;NA;1;3;4;5;3;6;4;3;8;9;13;7;11;14;10;26;20;33;9;21;5
2016;1502;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;NA;2;2;4;2;4;4;4;2;4;2;6;8;7;6;18;17;14;18;12;9;5
2016;1503;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;4;1;2;4;7;6;4;9;7;6;9;11;9;8;8;10;10;3
2016;1600;1;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;1;NA;NA;NA;1;1;1;NA;4;1;3;2;5;4;6;2;5;4;7;17;19;27;9;16;6;7;4
2016;1721;2;2;NA;NA;NA;NA;2;NA;NA;1;1;3;1;1;3;2;3;4;3;11;7;16;11;17;15;24;27;30;38;50;46;53;79;64;130;70;142;59;56;18
2016;1722;3;1;NA;1;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;1;NA;1;3;1;5;2;5;7;5;10;18;14;16;16;16;31;19;49;27;37;15;19;4
2016;1723;1;NA;NA;NA;1;NA;NA;NA;NA;NA;1;2;1;2;1;1;NA;1;2;4;3;4;15;10;10;15;11;22;13;25;34;43;35;38;50;39;49;29;25;10
